courseName,className,units,description,section,session,type,time,days,registered,instructor,location
ALI-252,ALI 252: Advanced Pronunciation (2.0 units),(2.0 units),Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.,10143R,1,Lecture,2:00-3:20pm,Mon&#44 Wed,0 of 12,,SOSB43
ALI-254,ALI 254: Advanced Oral Skills (2.0 units),(2.0 units),Required for international students whose oral skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.,10145R,1,Lecture,2:00-3:20pm,Tue&#44 Thu,0 of 12,,SOSB43
ALI-254,ALI 254: Advanced Oral Skills (2.0 units),(2.0 units),Required for international students whose oral skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.,10146R,1,Lecture,3:30-4:50pm,Mon&#44 Wed,1 of 12,,SOSB43
ALI-255,ALI 255: Advanced Writing Skills (2.0 units),(2.0 units),Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.,10149R,1,Lecture,9:00-11:50am,Friday,2 of 12,,SOSB43
ALI-270,ALI 270: Advanced Oral Communication for ITAs (3.0 units),(3.0 units),Classroom interaction skills for International Teaching Assistants&#44 with a focus on the language needed to lead discussions and make presentations. Open to International Teaching Assistants only. Graded CR/NC.,10154D,1,Lecture,10:00-11:50am,Mon&#44 Wed,1 of 8,,THH115
ALI-270,ALI 270: Advanced Oral Communication for ITAs (3.0 units),(3.0 units),Classroom interaction skills for International Teaching Assistants&#44 with a focus on the language needed to lead discussions and make presentations. Open to International Teaching Assistants only. Graded CR/NC.,10156D,1,Lecture,12:00-1:50pm,Mon&#44 Wed,0 of 8,,THH219
ALI-274,ALI 274: Advanced Academic and Professional Spoken English (2.0 units),(2.0 units),Required for International Teaching Assistants (ITAs) who&#44 after taking the ITA Oral Interview Exam&#44 are determined to need the particular skills taught in this course.,10164D,1,Lecture,12:30-1:50pm,Tue&#44 Thu,0 of 8,,THH219
ALI-274,ALI 274: Advanced Academic and Professional Spoken English (2.0 units),(2.0 units),Required for International Teaching Assistants (ITAs) who&#44 after taking the ITA Oral Interview Exam&#44 are determined to need the particular skills taught in this course.,10165D,1,Lecture,2:00-3:20pm,Mon&#44 Wed,0 of 8,,THH219
ALI-275,ALI 275: Writing for Publication and Dissertations (2.0 units),(2.0 units),Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax&#44 vocabulary&#44 and register for writing and/or publishing dissertations. Graded CR/NC.,10170D,1,Lecture,3:30-4:50pm,Mon&#44 Wed,2 of 8,James Polk,THH219
ALI-275,ALI 275: Writing for Publication and Dissertations (2.0 units),(2.0 units),Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax&#44 vocabulary&#44 and register for writing and/or publishing dissertations. Graded CR/NC.,10171D,1,Lecture,4:00-5:20pm,Mon&#44 Wed,0 of 8,Mary Ann Murphy,THH107
AMST-101,AMST 101mgw: Race and Class in Los Angeles (4.0 units),(4.0 units),Analysis of race and the economic&#44 political&#44 gender&#44 and social dimensions of contemporary Los Angeles including topics such as residential segregation&#44 economic inequality&#44 and city politics.,10310R,1,Lecture,11:00-12:20pm,Tue&#44 Thu,20 of 20,Jody Agius Vallejo,GFS106
AMST-101,AMST 101mgw: Race and Class in Los Angeles (4.0 units),(4.0 units),Analysis of race and the economic&#44 political&#44 gender&#44 and social dimensions of contemporary Los Angeles including topics such as residential segregation&#44 economic inequality&#44 and city politics.,10311R,1,Discussion,10:00-10:50am,Friday,1 of 25,,THH217
AMST-101,AMST 101mgw: Race and Class in Los Angeles (4.0 units),(4.0 units),Analysis of race and the economic&#44 political&#44 gender&#44 and social dimensions of contemporary Los Angeles including topics such as residential segregation&#44 economic inequality&#44 and city politics.,10312R,1,Discussion,11:00-11:50am,Friday,1 of 25,,THH217
AMST-101,AMST 101mgw: Race and Class in Los Angeles (4.0 units),(4.0 units),Analysis of race and the economic&#44 political&#44 gender&#44 and social dimensions of contemporary Los Angeles including topics such as residential segregation&#44 economic inequality&#44 and city politics.,10313R,1,Discussion,9:00-9:50am,Tuesday,4 of 25,,THH108
AMST-101,AMST 101mgw: Race and Class in Los Angeles (4.0 units),(4.0 units),Analysis of race and the economic&#44 political&#44 gender&#44 and social dimensions of contemporary Los Angeles including topics such as residential segregation&#44 economic inequality&#44 and city politics.,10314R,1,Discussion,9:00-9:50am,Thursday,2 of 25,,THH108
AMST-101,AMST 101mgw: Race and Class in Los Angeles (4.0 units),(4.0 units),Analysis of race and the economic&#44 political&#44 gender&#44 and social dimensions of contemporary Los Angeles including topics such as residential segregation&#44 economic inequality&#44 and city politics.,10315R,1,Discussion,1:00-1:50pm,Monday,7 of 25,,VKC207
AMST-135,AMST 135mgw: Peoples and Cultures of the Americas (4.0 units),(4.0 units),An introduction to cultures and people in the Americas; the social&#44 historical&#44 economic and cultural formations that together make up the Latino/a American imaginary.,10320R,1,Lecture,2:00-3:20pm,Mon&#44 Wed,19 of 20,Alicia Chavez,SGM101
AMST-135,AMST 135mgw: Peoples and Cultures of the Americas (4.0 units),(4.0 units),An introduction to cultures and people in the Americas; the social&#44 historical&#44 economic and cultural formations that together make up the Latino/a American imaginary.,10321R,1,Discussion,10:00-10:50am,Friday,2 of 25,Divana Olivas,THHB10
AMST-135,AMST 135mgw: Peoples and Cultures of the Americas (4.0 units),(4.0 units),An introduction to cultures and people in the Americas; the social&#44 historical&#44 economic and cultural formations that together make up the Latino/a American imaginary.,10322R,1,Discussion,11:00-11:50am,Friday,2 of 25,Divana Olivas,THHB10
AMST-135,AMST 135mgw: Peoples and Cultures of the Americas (4.0 units),(4.0 units),An introduction to cultures and people in the Americas; the social&#44 historical&#44 economic and cultural formations that together make up the Latino/a American imaginary.,10323R,1,Discussion,9:00-9:50am,Wednesday,2 of 25,Athia Choudhury,THH106
AMST-135,AMST 135mgw: Peoples and Cultures of the Americas (4.0 units),(4.0 units),An introduction to cultures and people in the Americas; the social&#44 historical&#44 economic and cultural formations that together make up the Latino/a American imaginary.,10324R,1,Discussion,9:00-9:50am,Monday,3 of 25,Emmett Harsin Drager,VKC207
AMST-135,AMST 135mgw: Peoples and Cultures of the Americas (4.0 units),(4.0 units),An introduction to cultures and people in the Americas; the social&#44 historical&#44 economic and cultural formations that together make up the Latino/a American imaginary.,10325R,1,Discussion,1:00-1:50pm,Wednesday,3 of 25,Athia Choudhury,VKC207
AMST-140,AMST 140gw: Borderlands in a Global Context (4.0 units),(4.0 units),Interdisciplinary survey of theory and borderland site cases&#44 national sentiment&#44 linguistic and cultural conflicts&#44 exploration of local&#44 regional&#44 and national identities in cultural contact zones.,10329R,1,Lecture,10:00-10:50am,MWF,2 of 10,David-James Gonzales,SOSB2
AMST-140,AMST 140gw: Borderlands in a Global Context (4.0 units),(4.0 units),Interdisciplinary survey of theory and borderland site cases&#44 national sentiment&#44 linguistic and cultural conflicts&#44 exploration of local&#44 regional&#44 and national identities in cultural contact zones.,10330R,1,Discussion,9:00-9:50am,Thursday,1 of 25,David-James Gonzales,VKC256
AMST-140,AMST 140gw: Borderlands in a Global Context (4.0 units),(4.0 units),Interdisciplinary survey of theory and borderland site cases&#44 national sentiment&#44 linguistic and cultural conflicts&#44 exploration of local&#44 regional&#44 and national identities in cultural contact zones.,10331R,1,Discussion,10:00-10:50am,Thursday,1 of 25,David-James Gonzales,VKC256
AMST-140,AMST 140gw: Borderlands in a Global Context (4.0 units),(4.0 units),Interdisciplinary survey of theory and borderland site cases&#44 national sentiment&#44 linguistic and cultural conflicts&#44 exploration of local&#44 regional&#44 and national identities in cultural contact zones.,10332R,1,Discussion,12:00-12:50pm,Friday,0 of 25,David-James Gonzales,VKC201
AMST-150,AMST 150gw: The American War in Viet Nam (4.0 units),(4.0 units),Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),10338R,1,Lecture,3:30-4:50pm,Mon&#44 Wed,15 of 15,Sharon Tran,SGM101
AMST-150,AMST 150gw: The American War in Viet Nam (4.0 units),(4.0 units),Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),10340R,1,Discussion,10:00-10:50am,Friday,1 of 25,,VKC161
AMST-150,AMST 150gw: The American War in Viet Nam (4.0 units),(4.0 units),Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),10341R,1,Discussion,11:00-11:50am,Wednesday,4 of 25,,VKC252
AMST-150,AMST 150gw: The American War in Viet Nam (4.0 units),(4.0 units),Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),10342R,1,Discussion,1:00-1:50pm,Wednesday,9 of 25,,VKC252
AMST-250,AMST 250mgw: The African Diaspora (4.0 units),(4.0 units),History&#44 political-economy and aesthetics of the African Diaspora with emphasis on Latin America&#44 the Caribbean&#44 Europe and Africa.,10372R,1,Lecture,12:30-1:50pm,Tue&#44 Thu,20 of 20,Edwin Hill,SGM101
AMST-250,AMST 250mgw: The African Diaspora (4.0 units),(4.0 units),History&#44 political-economy and aesthetics of the African Diaspora with emphasis on Latin America&#44 the Caribbean&#44 Europe and Africa.,10373R,1,Discussion,10:00-10:50am,Friday,0 of 25,Khadeejah Gray,VKC154
AMST-250,AMST 250mgw: The African Diaspora (4.0 units),(4.0 units),History&#44 political-economy and aesthetics of the African Diaspora with emphasis on Latin America&#44 the Caribbean&#44 Europe and Africa.,10375R,1,Discussion,11:00-11:50am,Friday,1 of 25,Khadeejah Gray,VKC160
AMST-250,AMST 250mgw: The African Diaspora (4.0 units),(4.0 units),History&#44 political-economy and aesthetics of the African Diaspora with emphasis on Latin America&#44 the Caribbean&#44 Europe and Africa.,10376R,1,Discussion,12:00-12:50pm,Wednesday,10 of 25,,VKC155
AMST-250,AMST 250mgw: The African Diaspora (4.0 units),(4.0 units),History&#44 political-economy and aesthetics of the African Diaspora with emphasis on Latin America&#44 the Caribbean&#44 Europe and Africa.,10377R,1,Discussion,12:00-12:50pm,Monday,3 of 25,Heidi Hong,VKC151
AMST-250,AMST 250mgw: The African Diaspora (4.0 units),(4.0 units),History&#44 political-economy and aesthetics of the African Diaspora with emphasis on Latin America&#44 the Caribbean&#44 Europe and Africa.,10378R,1,Discussion,1:00-1:50pm,Monday,2 of 25,Heidi Hong,VKC151
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10408R,1,Lecture,2:00-3:50pm,Mon&#44 Wed,20 of 20,Thomas Gustafson,THH201
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10409R,1,Discussion,11:00-11:50am,Friday,4 of 25,,THHB9
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10410R,1,Discussion,12:00-12:50pm,Friday,2 of 25,,VKC111
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10411R,1,Discussion,4:00-4:50pm,Monday,9 of 25,,VKC157
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10412R,1,Discussion,4:00-4:50pm,Wednesday,4 of 25,,VKC157
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10413R,1,Discussion,10:00-10:50am,Friday,0 of 25,,THH108
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10414R,1,Discussion,9:00-9:50am,Monday,0 of 25,,VKC205
AMST-301,AMST 301gp: America&#44 the Frontier&#44 and the New West (4.0 units),(4.0 units),Introduction to an interdisciplinary study of American political&#44 cultural and social life with a particular emphasis on the Western United States as a region. Recommended preparation: HIST 200&#44 ENGL 263,10415R,1,Discussion,9:00-9:50am,Friday,0 of 25,,THH108
AMST-490,AMST 490x: Directed Research (1.0-8.0 units&#44 max 12),(1.0-8.0 units&#44 max 12),Individual research and readings. Not available for graduate credit.,10441D,1,Lecture,TBA,TBA,0 of 15,,OFFICE
ANTH-101,ANTH 101g: Body&#44 Mind and Healing: Introduction to Medical Anthropology (4.0 units),(4.0 units),The body&#44 illness and healing from a cultural perspective&#44 including comparative studies of folk healing systems&#44 curing rituals and Western biomedical practices.,10601R,1,Lecture,8:30-9:50am,Mon&#44 Wed,3 of 50,Erin Moore,KAP140
ANTH-101,ANTH 101g: Body&#44 Mind and Healing: Introduction to Medical Anthropology (4.0 units),(4.0 units),The body&#44 illness and healing from a cultural perspective&#44 including comparative studies of folk healing systems&#44 curing rituals and Western biomedical practices.,10702R,1,Discussion,12:00-12:50pm,Friday,2 of 25,,VKC207
ANTH-200,Crosslist ANTH 200Lg: The Human Animal (4.0 units),(4.0 units),Foundations of the human species. Examination of scientific evidence from Darwinian theory&#44 primate behavior&#44 fossils&#44 and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.,38511R,1,Lecture,2:00-3:20pm,Tue&#44 Thu,18 of 120,Stephanie Bogart,SGM124
ANTH-200,Crosslist ANTH 200Lg: The Human Animal (4.0 units),(4.0 units),Foundations of the human species. Examination of scientific evidence from Darwinian theory&#44 primate behavior&#44 fossils&#44 and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.,38515R,1,Lab,10:00-11:50am,Thursday,0 of 20,,AHFB10
ANTH-200,Crosslist ANTH 200Lg: The Human Animal (4.0 units),(4.0 units),Foundations of the human species. Examination of scientific evidence from Darwinian theory&#44 primate behavior&#44 fossils&#44 and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.,38516R,1,Lab,10:00-11:50am,Wednesday,3 of 20,,AHFB10
ANTH-200,Crosslist ANTH 200Lg: The Human Animal (4.0 units),(4.0 units),Foundations of the human species. Examination of scientific evidence from Darwinian theory&#44 primate behavior&#44 fossils&#44 and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.,38517R,1,Lab,10:00-11:50am,Tuesday,2 of 20,,AHFB10
ANTH-200,Crosslist ANTH 200Lg: The Human Animal (4.0 units),(4.0 units),Foundations of the human species. Examination of scientific evidence from Darwinian theory&#44 primate behavior&#44 fossils&#44 and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.,38518R,1,Lab,12:00-1:50pm,Tuesday,6 of 20,,AHFB10
ANTH-200,Crosslist ANTH 200Lg: The Human Animal (4.0 units),(4.0 units),Foundations of the human species. Examination of scientific evidence from Darwinian theory&#44 primate behavior&#44 fossils&#44 and the behavior of modern people. Laboratory. Duplicates credit in former ANTH 200Lg.,38522R,1,Lab,12:00-1:50pm,Wednesday,6 of 20,,AHFB10
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10603R,1,Lecture,2:00-3:20pm,Tue&#44 Thu,9 of 102,Joseph Hawkins,GFS106
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10604R,1,Discussion,8:00-8:50am,Friday,3 of 25,,VKC161
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10605R,1,Discussion,9:00-9:50am,Friday,3 of 25,,VKC161
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10606R,1,Discussion,12:00-12:50pm,Friday,1 of 27,,VKC155
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10607R,1,Discussion,1:00-1:50pm,Friday,2 of 25,,VKC155
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10608R,1,Lecture,8:00-9:20am,Mon&#44 Wed,8 of 100,Gary Seaman,GFS106
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10609R,1,Discussion,8:00-8:50am,Friday,1 of 25,,GFS108
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10610R,1,Discussion,9:00-9:50am,Friday,5 of 25,,GFS108
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10611R,1,Discussion,10:00-10:50am,Friday,1 of 25,,GFS207
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10612R,1,Discussion,11:00-11:50am,Friday,1 of 25,,GFS207
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10710R,1,Lecture,9:30-10:50am,Tue&#44 Thu,14 of 104,Jennifer Cool,SGM123
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10711R,1,Discussion,10:00-10:50am,Friday,8 of 28,,THHB9
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10712R,1,Discussion,11:00-11:50am,Friday,4 of 27,,THH213
ANTH-263,ANTH 263g: Exploring Culture Through Film (4.0 units),(4.0 units),Concepts of social anthropology using filmic representations ofsocieties throughout the world in contrast to written ethnography.,10713R,1,Discussion,12:00-12:50pm,Friday,1 of 26,,VKC161
ANTH-315,ANTH 315g: North American Indians (4.0 units),(4.0 units),North American Indian societies&#44 their major cultural themes&#44ethnological significance&#44 and comparability with Western Europeancultural forms; lectures&#44 visual&#44 and indigene demonstrations.,10618R,1,Lecture,12:30-1:50pm,Tue&#44 Thu,18 of 150,Tok Thompson,GFS106
ANTH-315,ANTH 315g: North American Indians (4.0 units),(4.0 units),North American Indian societies&#44 their major cultural themes&#44ethnological significance&#44 and comparability with Western Europeancultural forms; lectures&#44 visual&#44 and indigene demonstrations.,10619R,1,Discussion,8:00-8:50am,Wednesday,3 of 25,,KAP165
ANTH-315,ANTH 315g: North American Indians (4.0 units),(4.0 units),North American Indian societies&#44 their major cultural themes&#44ethnological significance&#44 and comparability with Western Europeancultural forms; lectures&#44 visual&#44 and indigene demonstrations.,10620R,1,Discussion,9:00-9:50am,Wednesday,4 of 26,,KAP165
ANTH-315,ANTH 315g: North American Indians (4.0 units),(4.0 units),North American Indian societies&#44 their major cultural themes&#44ethnological significance&#44 and comparability with Western Europeancultural forms; lectures&#44 visual&#44 and indigene demonstrations.,10621R,1,Discussion,12:00-12:50pm,Wednesday,5 of 26,,KAP164
ANTH-333,ANTH 333mg: Forms of Folklore (4.0 units),(4.0 units),Introduction to folklore as a discipline&#44 including folklore research methods and theory. Core course for the minor in Folklore and Popular Culture.,10626R,1,Lecture,2:00-3:20pm,Tue&#44 Thu,5 of 100,Tok Thompson,WPHB27
ANTH-333,ANTH 333mg: Forms of Folklore (4.0 units),(4.0 units),Introduction to folklore as a discipline&#44 including folklore research methods and theory. Core course for the minor in Folklore and Popular Culture.,10827R,1,Discussion,10:00-10:50am,Tuesday,3 of 25,,KAP165
ANTH-333,ANTH 333mg: Forms of Folklore (4.0 units),(4.0 units),Introduction to folklore as a discipline&#44 including folklore research methods and theory. Core course for the minor in Folklore and Popular Culture.,10828R,1,Discussion,11:00-11:50am,Tuesday,2 of 25,,KAP167
ANTH-333,ANTH 333mg: Forms of Folklore (4.0 units),(4.0 units),Introduction to folklore as a discipline&#44 including folklore research methods and theory. Core course for the minor in Folklore and Popular Culture.,10829R,1,Discussion,10:00-10:50am,Friday,0 of 25,,KAP159
ANTH-371,ANTH 371mg: Cross-Cultural Research on Urban Gangs (4.0 units),(4.0 units),Youth gang dynamics and their effects on institutions. Comparative analysis of Asian&#44 African&#44 and Mexican American gangs.,10633R,1,Lecture,11:00-12:20pm,Tue&#44 Thu,27 of 100,Thomas Ward,SGM101
ANTH-371,ANTH 371mg: Cross-Cultural Research on Urban Gangs (4.0 units),(4.0 units),Youth gang dynamics and their effects on institutions. Comparative analysis of Asian&#44 African&#44 and Mexican American gangs.,10634R,1,Discussion,8:00-8:50am,Tuesday,3 of 25,,KAP137
ANTH-371,ANTH 371mg: Cross-Cultural Research on Urban Gangs (4.0 units),(4.0 units),Youth gang dynamics and their effects on institutions. Comparative analysis of Asian&#44 African&#44 and Mexican American gangs.,10635R,1,Discussion,9:00-9:50am,Thursday,14 of 25,,VKC109
ANTH-371,ANTH 371mg: Cross-Cultural Research on Urban Gangs (4.0 units),(4.0 units),Youth gang dynamics and their effects on institutions. Comparative analysis of Asian&#44 African&#44 and Mexican American gangs.,10636R,1,Discussion,8:00-8:50am,Friday,4 of 25,,KAP165
ANTH-577,ANTH 577L: Advanced Anthropological Media Seminar (4.0 units&#44 max 8),(4.0 units&#44 max 8),A hands-on laboratory based survey of post-production technologies&#44 including editing both new and older footage. Students should be finishing their own documentaries.,10655D,1,Lecture,2:00-4:50pm,Monday,0 of 25,Jennifer Cool,KAP164
AHIS-121,AHIS 121gp: Art and Society: Renaissance to Modern (4.0 units),(4.0 units),European art and its legacy in the Americas. Painting&#44 sculpture&#44 architecture and other visual media considered in relation to social and cultural history.,11818R,1,Lecture,12:30-1:50pm,Tue&#44 Thu,29 of 126,Hector Reyes,THH301
AHIS-121,AHIS 121gp: Art and Society: Renaissance to Modern (4.0 units),(4.0 units),European art and its legacy in the Americas. Painting&#44 sculpture&#44 architecture and other visual media considered in relation to social and cultural history.,11819R,1,Discussion,9:00-9:50am,Friday,3 of 21,,VKC151
AHIS-121,AHIS 121gp: Art and Society: Renaissance to Modern (4.0 units),(4.0 units),European art and its legacy in the Americas. Painting&#44 sculpture&#44 architecture and other visual media considered in relation to social and cultural history.,11820R,1,Discussion,10:00-10:50am,Friday,6 of 21,,VKC151
